položaj,ime,celina,država,ocena,višinska_razlika,proge,modre,rdeče,črne,žičnice
143,Yellowstone Club,North America,USA,3.7,823.0,80.0,30.0,30.0,20.0,19
143,Ax 3 Domaines – Ax-les-Thermes,Europe,France,3.5,966.0,80.0,40.0,25.0,15.0,19
149,Trysil,Europe,Norway,4.4,705.0,78.0,40.0,18.0,20.0,31
149,Smugglers' Notch,North America,USA,3.4,798.0,78.0,13.0,41.0,24.0,8
151,Schmittenhöhe – Zell am See,Europe,Austria,4.4,1240.0,77.0,30.0,28.0,19.0,28
152,Jay Peak,North America,USA,3.4,612.0,76.0,15.0,31.0,30.0,7
153,Nauders am Reschenpass – Bergkastel,Europe,Austria,4.2,1350.0,75.0,25.0,36.0,14.0,11
153,Wildkogel – Neukirchen/Bramberg,Europe,Austria,4.4,1330.0,75.0,35.0,30.0,10.0,20
153,Bansko,Europe,Bulgaria,4.2,1540.0,75.0,44.0,25.0,6.0,14
153,Angel Fire,North America,USA,3.5,633.0,75.0,40.0,28.0,7.0,7
153,Puy-Saint-Vincent,Europe,France,3.5,1270.0,75.0,28.0,34.0,13.0,11
158,Savognin,Europe,Switzerland,3.6,1545.0,73.5,32.5,38.0,3.0,12
159,Mont-Sainte-Anne,North America,Canada,4.2,625.0,73.0,15.0,34.0,24.0,9
160,Civetta – Alleghe/Selva di Cadore/Palafavera/Zoldo,Europe,Italy,4.0,1100.0,72.0,28.0,36.0,8.0,23
161,Alta,North America,USA,4.0,600.0,71.0,11.0,21.0,39.0,8
161,Bridger Bowl – Bozeman,North America,USA,3.3,822.0,71.0,20.0,26.0,25.0,11
163,Folgaria/Fiorentini,Europe,Italy,4.0,586.0,70.0,37.5,28.5,4.0,26
163,Andermatt/Oberalp/Sedrun,Europe,Switzerland,4.4,1156.0,70.0,18.0,40.0,12.0,13
163,Scuol – Motta Naluns,Europe,Switzerland,4.3,1535.0,70.0,27.0,32.0,11.0,12
163,Titlis – Engelberg,Europe,Switzerland,4.3,2017.0,70.0,18.0,42.5,9.5,18
163,Stowe,North America,USA,4.0,726.0,70.0,20.0,42.0,8.0,12
163,Jikepulin – Hemu,Asia,China,3.7,1396.0,70.0,32.0,38.0,0.0,10
163,Pila,Europe,Italy,3.5,1200.0,70.0,11.0,51.0,8.0,12
163,Valfréjus,Europe,France,3.5,1187.0,70.0,40.0,20.0,10.0,9
